Num,Id,Request,EN_1,EN_2,EN_3,EN_4,EN_5,EN_6,EN_7,EN_8,EN_9,EN_10,EN_11,EN_12,EN_13,EN_14,EN_15,EN_16,EN_17,EN_18,EN_19,EN_20,EN_21,EN_22,EN_23,EN_24,EN_25,EN_26,EN_27,EN_28,EN_29,EN_30,EN_31,EN_32,EN_33,EN_34,EN_35,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,CH_9,CH_10,CH_11,CH_12,CH_13,CH_14,CH_15,CH_16,CH_17,CH_18,CH_19,CH_20,CH_21,CH_22,CH_23,CH_24,CH_25,CH_26,CH_27,CH_28,CH_29,CH_30,CH_31,CH_32,CH_33,EN_1,EN_2,EN_3,EN_4,EN_5,EN_6,EN_7,EN_8,EN_9,EN_10,EN_11,EN_12,EN_13,EN_14,EN_15,EN_16,EN_17,EN_18,EN_19,EN_20,EN_21,EN_22,EN_23,EN_24,EN_25,EN_26,EN_27,EN_28,EN_29,EN_30,EN_31,EN_32,EN_33,EN_34,EN_35,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,CH_9,CH_10,CH_11,CH_12,CH_13,CH_14,CH_15,CH_16,CH_17,CH_18,CH_19,CH_20,CH_21,CH_22,CH_23,CH_24,CH_25,CH_26,CH_27,CH_28,CH_29,CH_30,CH_31,CH_32,CH_33,AVERAGE_Z_SCORE,AVERAGE_Z_SCORE_ENGLISH,AVERAGE_Z_SCORE_CHINESE,Prediction_Z_Score_EN,Prediction_Z_Score_CH
301,460261,"My edit on <url> was written by me, not copied from a forum. Out of curiousity, which forum copied my post on Wikipedia?",3,,,,2,,,,2,,,1,,,6,4,,,,7,,-5,,,,4,,1,,,,,,,0,5,,,,,0,,2,,,,3,,,,,,,3,4,,,,,,-1,,-2,,,,,0,1.11496604,blank,blank,blank,0.248950816,blank,blank,blank,-0.257739447,blank,blank,0.187126594,blank,blank,0.933556578,0.328114474,blank,blank,blank,1.097679353,blank,-1.154988804,blank,blank,blank,0.512145908,blank,-0.088971063,blank,blank,blank,blank,blank,blank,-0.913802645,0.447505739,blank,blank,blank,blank,-0.215666172,blank,0.335434018,blank,blank,blank,0.892546897,blank,blank,blank,blank,blank,blank,0.124210644,0.514464908,blank,blank,blank,blank,blank,-0.35413385,blank,-1.472257593,blank,blank,blank,blank,-0.268271685,0.100543535,0.182457982,0.000425878,3,3
302,625706,"Hi, I made on comment on the image page about this being different than Sbarro3 image. Please... comment?",-6,,,,2,,,,-1,,,5,,,6,2,,,,5,,-7,,,,-3,,-6,,,,,,,-4,8,,,,,-6,,2,,,,1,,,,,,,2,4,,,,,,1,,1,,,,,1,-1.002058086,blank,blank,blank,0.248950816,blank,blank,blank,-0.762856958,blank,blank,1.09440705,blank,blank,0.933556578,-0.048555057,blank,blank,blank,0.655177364,blank,-1.622127133,blank,blank,blank,-0.760711837,blank,-1.176895702,blank,blank,blank,blank,blank,blank,-1.908417769,1.295411349,blank,blank,blank,blank,-1.268245849,blank,0.335434018,blank,blank,blank,0.365257653,blank,blank,blank,blank,blank,blank,-0.149473825,0.514464908,blank,blank,blank,blank,blank,0.273445125,blank,0.081381073,blank,blank,blank,blank,-0.107308674,-0.150458248,-0.395411885,0.148929531,2,3
303,102052,"What you linked to looks good, but what was I supposed to compare it with again? Got a link?",3,,,,2,,,,1,,,4,,,6,0,,,,6,,-3,,,,-1,,10,,,,,,,-3,6,,,,,0,,-2,,,,-2,,,,,,,3,1,,,,,,-1,,-1,,,,,0,1.11496604,blank,blank,blank,0.248950816,blank,blank,blank,-0.426111951,blank,blank,0.867586936,blank,blank,0.933556578,-0.425224587,blank,blank,blank,0.876428358,blank,-0.687850475,blank,blank,blank,-0.397038196,blank,1.309789188,blank,blank,blank,blank,blank,blank,-1.659763988,0.730140942,blank,blank,blank,blank,-0.215666172,blank,-0.277327338,blank,blank,blank,-0.425676212,blank,blank,blank,blank,blank,blank,0.124210644,-0.197871119,blank,blank,blank,blank,blank,-0.35413385,blank,-0.954378037,blank,blank,blank,blank,-0.268271685,-0.004184205,0.159571702,-0.204330314,3,2
304,513734,"Hi, thanks for moving three of the Brussels municipalities. Could you move <url> to <url> as well?",6,,,,4,,,,4,,,5,,,11,4,,,,6,,1,,,,3,,11,,,,,,,3,6,,,,,10,,10,,,,5,,,,,,,3,5,,,,,,1,,3,,,,,12,1.820640749,blank,blank,blank,0.646469055,blank,blank,blank,0.079005559,blank,blank,1.09440705,blank,blank,1.755817266,0.328114474,blank,blank,blank,0.876428358,blank,0.246426183,blank,blank,blank,0.330309087,blank,1.465206993,blank,blank,blank,blank,blank,blank,-0.167841302,0.730140942,blank,blank,blank,blank,1.538633289,blank,1.56095673,blank,blank,blank,1.41983614,blank,blank,blank,blank,blank,blank,0.124210644,0.751910251,blank,blank,blank,blank,blank,0.273445125,blank,1.117140183,blank,blank,blank,blank,1.663284447,0.882727061,0.770453043,1.019950861,4,4
305,4026,"My question is ""Why?"" I am doing all the citations correctly and this still appears often. Can anyone tell me what I'm doing wrong?",-3,,,,2,,,,1,,,2,,,6,0,,,,1,,2,,,,2,,0,,,,,,,-2,1,,,,,-9,,-1,,,,-1,,,,,,,3,-2,,,,,,-1,,0,,,,,-8,-0.296383378,blank,blank,blank,0.248950816,blank,blank,blank,-0.426111951,blank,blank,0.413946708,blank,blank,0.933556578,-0.425224587,blank,blank,blank,-0.229826615,blank,0.479995347,blank,blank,blank,0.148472266,blank,-0.244388868,blank,blank,blank,blank,blank,blank,-1.411110207,-0.683035075,blank,blank,blank,blank,-1.794535687,blank,-0.124136999,blank,blank,blank,-0.16203159,blank,blank,blank,blank,blank,blank,0.124210644,-0.910207146,blank,blank,blank,blank,blank,-0.35413385,blank,-0.436498482,blank,blank,blank,blank,-1.555975773,-0.335223392,-0.073465808,-0.655149329,2,1
306,153974,"Hi, you recently edited that the Independence Hall was once the tallest building in Philadelphia on the <url> article. Do you have any source that supports this?",3,,,,0,,,,2,,,1,,,5,0,,,,7,,4,,,,6,,-10,,,,,,,0,4,,,,,2,,8,,,,1,,,,,,,4,5,,,,,,-1,,0,,,,,1,1.11496604,blank,blank,blank,-0.148567423,blank,blank,blank,-0.257739447,blank,blank,0.187126594,blank,blank,0.769104441,-0.425224587,blank,blank,blank,1.097679353,blank,0.947133676,blank,blank,blank,0.87581955,blank,-1.798566924,blank,blank,blank,blank,blank,blank,-0.913802645,0.164870535,blank,blank,blank,blank,0.13519372,blank,1.254576052,blank,blank,blank,0.365257653,blank,blank,blank,blank,blank,blank,0.397895113,0.751910251,blank,blank,blank,blank,blank,-0.35413385,blank,-0.436498482,blank,blank,blank,blank,-0.107308674,0.180984547,0.131629875,0.241306924,3,3
307,507179,"You may not remember doing this but, you erased a page entitled, Earl Newton. Why did you do it?",-3,,,,-1,,,,-1,,,-1,,,-6,-4,,,,3,,-7,,,,-2,,-9,,,,,,,-2,7,,,,,-8,,3,,,,1,,,,,,,3,-8,,,,,,-3,,0,,,,,-8,-0.296383378,blank,blank,blank,-0.347326542,blank,blank,blank,-0.762856958,blank,blank,-0.266513634,blank,blank,-1.039869071,-1.178563649,blank,blank,blank,0.212675375,blank,-1.622127133,blank,blank,blank,-0.578875017,blank,-1.643149119,blank,blank,blank,blank,blank,blank,-1.411110207,1.012776146,blank,blank,blank,blank,-1.619105741,blank,0.488624357,blank,blank,blank,0.365257653,blank,blank,blank,blank,blank,blank,0.124210644,-2.334879199,blank,blank,blank,blank,blank,-0.981712826,blank,-0.436498482,blank,blank,blank,blank,-1.555975773,-0.693570128,-0.812190848,-0.548589247,1,1
308,393977,"Ok. Thank you for clarifying. Could you be more specific as to what you are specifying as ""the claim"" so that I may find relevant information to refute?",0,,,,-1,,,,1,,,5,,,0,6,,,,-2,,3,,,,4,,-9,,,,,,,3,7,,,,,9,,9,,,,6,,,,,,,3,-7,,,,,,1,,3,,,,,12,0.409291331,blank,blank,blank,-0.347326542,blank,blank,blank,-0.426111951,blank,blank,1.09440705,blank,blank,-0.053156246,0.704784005,blank,blank,blank,-0.893579598,blank,0.713564511,blank,blank,blank,0.512145908,blank,-1.643149119,blank,blank,blank,blank,blank,blank,-0.167841302,1.012776146,blank,blank,blank,blank,1.363203343,blank,1.407766391,blank,blank,blank,1.683480762,blank,blank,blank,blank,blank,blank,0.124210644,-2.097433857,blank,blank,blank,blank,blank,0.273445125,blank,1.117140183,blank,blank,blank,blank,1.663284447,0.322545062,-0.008815632,0.727541465,2,4
309,581772,"The review has been up there for something like six weeks, I notice. Think you'll be able to take care of those last couple of things?",-3,,,,-2,,,,2,,,-3,,,-2,-5,,,,-3,,1,,,,0,,-1,,,,,,,-3,6,,,,,0,,-5,,,,-7,,,,,,,4,2,,,,,,-1,,0,,,,,0,-0.296383378,blank,blank,blank,-0.546085661,blank,blank,blank,-0.257739447,blank,blank,-0.720153862,blank,blank,-0.382060521,-1.366898414,blank,blank,blank,-1.114830593,blank,0.246426183,blank,blank,blank,-0.215201375,blank,-0.399806674,blank,blank,blank,blank,blank,blank,-1.659763988,0.730140942,blank,blank,blank,blank,-0.215666172,blank,-0.736898355,blank,blank,blank,-1.743899321,blank,blank,blank,blank,blank,blank,0.397895113,0.039574224,blank,blank,blank,blank,blank,-0.35413385,blank,-0.436498482,blank,blank,blank,blank,-0.268271685,-0.465012766,-0.610227066,-0.287528621,1,2
310,153809,That user <url> moved <url> page for no reason and I do not understand why it was moved or why a persistent vandalist like this was allowed to move it. Is there anyway at all to get it moved back and that user permanently banned?,-9,,,,-6,,,,-1,,,-6,,,-12,-3,,,,-2,,-10,,,,5,,-12,,,,,,,-6,6,,,,,0,,-2,,,,-2,,,,,,,3,-1,,,,,,-1,,0,,,,,0,-1.707732795,blank,blank,blank,-1.341122139,blank,blank,blank,-0.762856958,blank,blank,-1.400614204,blank,blank,-2.026581896,-0.990228883,blank,blank,blank,-0.893579598,blank,-2.322834626,blank,blank,blank,0.693982729,blank,-2.109402535,blank,blank,blank,blank,blank,blank,-2.405725331,0.730140942,blank,blank,blank,blank,-0.215666172,blank,-0.277327338,blank,blank,blank,-0.425676212,blank,blank,blank,blank,blank,blank,0.124210644,-0.672761803,blank,blank,blank,blank,blank,-0.35413385,blank,-0.436498482,blank,blank,blank,blank,-0.268271685,-0.85313401,-1.387881476,-0.199553773,1,2
